Ego Artist Name,Related Artist Name,Artist ID,External URL,Followers,Genres,Popularity,Image URL
Node1,Yue Yan Jen,4MBwj0QO9m7CS0pHBfhrkU,https://open.spotify.com/artist/4MBwj0QO9m7CS0pHBfhrkU,699,calming instrumental,36,https://i.scdn.co/image/ab6761610000e5eb040c49aa6d63a53de7c58355
Node1,Cerulean Skies,5sB2GLv1x8cuwPyLnCHI9Z,https://open.spotify.com/artist/5sB2GLv1x8cuwPyLnCHI9Z,2307,"background music, calming instrumental",34,https://i.scdn.co/image/ab6761610000e5eb325cbe460794aa8d1884a427
Node1,Minonna,6mysyQI353vNbwstr6pT1Y,https://open.spotify.com/artist/6mysyQI353vNbwstr6pT1Y,723,calming instrumental,34,https://i.scdn.co/image/ab67616d0000b273884507cccf25576b8d0cc546
Node1,Lou D'Audrey,1Af7tZT5ll2gtgG4jO1Kxl,https://open.spotify.com/artist/1Af7tZT5ll2gtgG4jO1Kxl,819,"background music, calming instrumental",38,https://i.scdn.co/image/ab67616d0000b273e055b0c1f8849565b695ab9c
Node1,Bjørg Stigbjørnson,6XrReT7PSQUBR0LipHQxMn,https://open.spotify.com/artist/6XrReT7PSQUBR0LipHQxMn,298,sleep,36,https://i.scdn.co/image/ab67616d0000b27373383d13cc3222eb70c6e133
Node1,Zen Atlas,6KjzMG22RTsrSCmy71Ok0N,https://open.spotify.com/artist/6KjzMG22RTsrSCmy71Ok0N,260,"healing hz, sleep",40,https://i.scdn.co/image/ab67616d0000b273f1d0b7bb212307a129e160e0
Node1,Crystals,0WO63gX2KR2lMmeAgNf8gY,https://open.spotify.com/artist/0WO63gX2KR2lMmeAgNf8gY,216,calming instrumental,37,https://i.scdn.co/image/ab67616d0000b273829c27832b0edf171b2966ac
Node1,Sharon Simple,00tbcOvq709RE1UCBr7uEs,https://open.spotify.com/artist/00tbcOvq709RE1UCBr7uEs,88,calming instrumental,38,https://i.scdn.co/image/ab67616d0000b273745e75d9aa90b24c6bfad497
Node1,Andre Lucci,0NWbPZSm9rhSiLxoTqg6Qh,https://open.spotify.com/artist/0NWbPZSm9rhSiLxoTqg6Qh,73,,12,https://i.scdn.co/image/ab67616d0000b2734dca8e5e80ae4ceff3554f55
Node1,Lost Rainbow,2AcvgHNvj15wvGtQZQDTbh,https://open.spotify.com/artist/2AcvgHNvj15wvGtQZQDTbh,85,calming instrumental,39,https://i.scdn.co/image/ab67616d0000b273ad33687c3ff47881d83d1339
